,team_name,X,Y,Z,tick,steamid,name
2,CT,-1390.0479,262.85825,11776.031,147588,76561198015308884,biguzera-
3,CT,-1120.8042,-656.1611,11776.031,147588,76561198385657675,kauez_
4,TERRORIST,-690.5727,-370.10114,11488.558,147588,76561198095896540,docz1n
5,TERRORIST,-743.3864,-123.375244,11488.031,147588,76561198135228658,gafolo
6,TERRORIST,-1835.385,-61.017334,11552.031,147588,76561198307734468,rdn---
7,CT,-2537.503,667.1994,11744.031,147588,76561198377335846,snow_-_
8,TERRORIST,-2190.9688,-867.06146,11833.133,147588,76561198809462276,koaLx
9,TERRORIST,-796.8746,-668.3934,11605.527,147588,76561198858681422,pepe--
0,CT,-1688.6912,16.838976,11776.031,147652,76561198350342505,nqz-
1,CT,-377.96863,-999.6721,11792.031,147652,76561198074017668,lux1-
2,CT,-1273.4701,205.80318,11776.031,147652,76561198015308884,biguzera-
3,CT,-1098.3978,-677.8176,11776.031,147652,76561198385657675,kauez_
4,TERRORIST,-665.83203,-450.44507,11508.644,147652,76561198095896540,docz1n
5,TERRORIST,-733.28845,-126.36316,11488.031,147652,76561198135228658,gafolo
6,TERRORIST,-1824.1365,-19.029663,11552.031,147652,76561198307734468,rdn---
7,CT,-2543.0823,689.0123,11744.031,147652,76561198377335846,snow_-_
8,TERRORIST,-2218.8455,-792.1761,11776.031,147652,76561198809462276,koaLx
9,TERRORIST,-742.089,-882.9473,11616.77,147652,76561198858681422,pepe--
0,CT,-1688.2445,16.972754,11776.031,147716,76561198350342505,nqz-
1,CT,-377.63086,-999.14465,11792.031,147716,76561198074017668,lux1-
2,CT,-1152.5002,161.50946,11776.031,147716,76561198015308884,biguzera-
3,CT,-1131.0071,-755.875,11776.031,147716,76561198385657675,kauez_
4,TERRORIST,-679.8267,-466.25336,11512.596,147716,76561198095896540,docz1n
5,TERRORIST,-731.67175,-126.857056,11488.031,147716,76561198135228658,gafolo
6,TERRORIST,-1834.5972,56.8254,11552.031,147716,76561198307734468,rdn---
7,CT,-2543.676,690.0257,11744.031,147716,76561198377335846,snow_-_
8,TERRORIST,-2325.3196,-741.0688,11776.031,147716,76561198809462276,koaLx
9,TERRORIST,-657.41254,-1016.9686,11674.187,147716,76561198858681422,pepe--
0,CT,-1688.6136,16.862438,11776.031,147780,76561198350342505,nqz-
1,CT,-372.89813,-1023.1195,11792.031,147780,76561198074017668,lux1-
2,CT,-1034.7991,85.04236,11776.031,147780,76561198015308884,biguzera-
3,CT,-1165.9688,-874.4499,11776.031,147780,76561198385657675,kauez_
4,TERRORIST,-675.5282,-467.3352,11512.866,147780,76561198095896540,docz1n
5,TERRORIST,-718.22406,-131.05737,11488.031,147780,76561198135228658,gafolo
6,TERRORIST,-1776.0315,89.66762,11553.031,147780,76561198307734468,rdn---
7,CT,-2534.3474,673.96075,11744.031,147780,76561198377335846,snow_-_
8,TERRORIST,-2348.6292,-691.4605,11776.031,147780,76561198809462276,koaLx
9,TERRORIST,-677.91425,-1041.9875,11715.032,147780,76561198858681422,pepe--
0,CT,-1688.2042,16.984423,11776.031,147844,76561198350342505,nqz-
1,CT,-347.66882,-845.68445,11776.031,147844,76561198074017668,lux1-
2,CT,-974.1604,-149.32239,11776.031,147844,76561198015308884,biguzera-
3,CT,-1162.6196,-920.3936,11776.031,147844,76561198385657675,kauez_
4,TERRORIST,-704.2217,-465.07593,11512.301,147844,76561198095896540,docz1n
5,TERRORIST,-714.6031,-132.19946,11488.031,147844,76561198135228658,gafolo
6,TERRORIST,-1776.0923,84.72193,11553.031,147844,76561198307734468,rdn---
7,CT,-2532.5376,670.8509,11744.031,147844,76561198377335846,snow_-_
8,TERRORIST,-2382.2388,-667.0182,11776.031,147844,76561198809462276,koaLx
9,TERRORIST,-676.4621,-1013.21466,11696.188,147844,76561198858681422,pepe--
0,CT,-1688.2042,16.984423,11776.031,147908,76561198350342505,nqz-
1,CT,-427.7975,-718.0405,11776.031,147908,76561198074017668,lux1-
2,CT,-877.81854,-341.7732,11776.031,147908,76561198015308884,biguzera-
3,CT,-1165.9683,-940.29974,11776.031,147908,76561198385657675,kauez_
4,TERRORIST,-786.66797,-527.5545,11527.921,147908,76561198095896540,docz1n
5,TERRORIST,-717.77075,-131.19348,11488.031,147908,76561198135228658,gafolo
6,TERRORIST,-1776.0886,85.40269,11553.031,147908,76561198307734468,rdn---
7,CT,-2534.23,673.76807,11744.031,147908,76561198377335846,snow_-_
8,TERRORIST,-2384.5012,-663.3381,11776.031,147908,76561198809462276,koaLx
9,TERRORIST,-677.1217,-834.8199,11604.737,147908,76561198858681422,pepe--
0,CT,-860.1436,940.28204,11776.031,157129,76561198350342505,nqz-
1,CT,-929.6314,918.6384,11776.031,157129,76561198074017668,lux1-
2,CT,-1126.5762,925.89246,11776.031,157129,76561198015308884,biguzera-
3,CT,-1044.0262,924.3055,11776.031,157129,76561198385657675,kauez_
4,TERRORIST,-1502.5718,-1360.8275,11488.031,157129,76561198095896540,docz1n
